,geo_level,geo_code,geoid,name,total,Do not know,Do not know-Female,Do not know-Male,Formal sector,Formal sector-Female,Formal sector-Male,Informal sector,Informal sector-Female,Informal sector-Male,Private household,Private household-Female,Private household-Male,province
201,municipality,NC066,municipality-NC066,Karoo Hoogland,470,10,5,5,332,100,232,103,35,68,25,14,11,Northern Cape
202,municipality,NC067,municipality-NC067,Khâi-Ma,994,5,3,2,809,337,472,130,50,80,50,21,29,Northern Cape
203,municipality,NC072,municipality-NC072,Umsobomvu,841,30,14,16,568,232,336,158,43,115,85,31,54,Northern Cape
204,municipality,NC073,municipality-NC073,Emthanjeni,1265,23,8,15,785,334,451,299,95,204,158,75,83,Northern Cape
205,municipality,NC074,municipality-NC074,Kareeberg,407,19,7,12,266,107,159,86,16,70,36,13,23,Northern Cape
206,municipality,NC075,municipality-NC075,Renosterberg,453,6,1,5,264,122,142,170,61,109,13,5,8,Northern Cape
207,municipality,NC076,municipality-NC076,Thembelihle,638,34,13,21,438,160,278,130,38,92,36,18,18,Northern Cape
208,municipality,NC078,municipality-NC078,Siyancuma,1166,66,10,56,665,233,432,251,58,193,184,50,134,Northern Cape
209,municipality,NC081,municipality-NC081,Mier,257,0,0,0,188,79,109,56,16,40,13,6,7,Northern Cape
210,municipality,NC082,municipality-NC082,Kai !Garib,8025,158,81,77,5726,2495,3231,1293,454,839,848,348,500,Northern Cape
211,municipality,NC083,municipality-NC083,//Khara Hais,3459,94,39,55,2423,1033,1390,672,235,437,270,93,177,Northern Cape
